Slang,Arti
unbranded,tidak bermerk
build-able,mudah ditambahkan
seamlessly,mulus licin 
lightweight,ringan
texturenya,teksturnya
very pricey,sangat mahal
dof,buram
fine-fine,baik
thicker constitency,konsistensi yang lebih tebal
bercoverage,daya tutup yang diberikan produk
very blendable,sangat mudah dicampur 
built able,mudah ditambahkan
pre-skincare,sebelum penggunaan kosmetik
overexfo,eksfoliasi berlebihan
effortlessly,dengan mudahnya
nicely,dengan baik
amazed,kagum
blendingan,campuran
foundy,alas bedak
removernya,pembersihnya
kerontang,sangat kering
nyembuhin,menyembuhkan
jidat,dahi
cekit2,sakit
melotok2,mengelupas
kusem,kusam
kucel,kumal
ga nerusin,tidak diteruskan
nyicip,mencicip
ribet,rumit
gampang pecah,mudah pecar
baunya nusuk,baunya menyengat
engga ilang2,tidak mudah hilang
kelupas2,mengelupas
gradakan,tidak terawat
belepotan,berantakan
rewel,tidak mudah cocok dengan bahan tertentu
nyoba,mencoba
cus beli,langsung beli
lngsung cus,langsung
copot,lepas 
menor,belebihan
menurutq,menurut saya
ngefek,berdampak
nay banget,tidak 
ngeconceal,menutupi
ga manjur,tidak berfungsi
ngiler,sangat menginginkan
nge 'garuk',berefek
geday2,besar
ga bole,tidak boleh
se-natural namanya,sealami namanya
mayan mahal,lumayan mahal
gampang ngusrek,mudah menyebar
gampang mengusrek,mudah menyebar
cucok banget,sangat cocok
pokoonya jatuh cintrong,pokoknya jatuh cinta
ga bikin eneg,tidak membuat muak
di blot,diserap
ngeborong,memborong
gak rempong,tidak rumit
agak abu di kulit,sedikit abu di kulit
keliatan dandan,terlihat seperti riasan
agak gambling,sedikit tidak menentu 
agak sangsi,sedikit ragu
ga over flowery,tidak terlalu wangi
bikin eneq,membuat muak
daerah t,area wajah di sekitar dahi dan hidung yang membentuk huruf T.
kenyel banget kulitnya,kulitnya sangat kenyal
ada pumpnya,ada penyemprotnya
gak terkesan cemong,tidak terkesan berantakan
cakep banget,sangat keren
ga ninggalin residu,tidak meninggalkan residu
langsung lumer,langsung leleh
ga gosong-gosong banget,tidak terlalu gosong
embel embel whitenya,tambahan berupa memutihkan
habis ber tube-tube,habis banyak botol
ogah,tidak
menurutq,menurut saya
ngblend,tercampur
shadeku,pilihan warna saya
nyamarin noda,menyamarkan noda
aga tajem,sedikit tajam
agak ringkih,sedikit rapuh
paling greasy,paling berminyak
gonjreng,heboh
ketebelan,terlalu tebal
blot aja,diserap saja
ngelupas-ngelupas,mengelupas
ga sticky,tidak lengket
kerasa enak banget,terasa sangat enak
ngga mencolok,tidak mencolok
gampang dicari,mudah dicari
nyesel ,menyesal
ga waxy,tidak seperti lilin
fresh dadakan,segar secara langsung
kempes,kempis
daki,kotoran pada kulit yang berupa sel kulit mati
oles gosok,dioles
clekitnya,sakitnya
ngga bulky,tidak tebal
kurang travel friendly,tidak mudah dibawa saat bepergian
breakout,reaksi kulit karena tidak cocok dengan zat aktif pada produk
kurang nampol,kurang terasa
ngangkat ,mengangkat 
nggak ,tidak
ngga kiss proof,tidak mudah menempel 
bolak-balik oles,oles lagi
gagangnya rada lunak,gagangnya sedikit lunak 
gampang banget patah,sangat mudah patah
rasanya enteng,rasanya tidak berat
jadi beleber,jadi luntur
bersih keset,sangat bersih
biar pol,supaya lebih terasa
sebulan make,satu bulan pemakaian
di oles semuka,di oleskan ke seluruh wajah
botolnya gede,botolnya besar
dipipi makin merah,di pipi semakin merah
kompresan mata,alat untuk mengompres mata
ngempesin jerawat,mengempiskan jerawat
nempel bgt,sangat menempel
cucinya aga lama,sedikit lebih lama saat dicuci
bkn lengket,menyebabkan lengket
sensasi celekit2 nya,sensasi sakitnya
efek mutihin,efek memutihkan
muka kenceng,wajah terlihat kencang
hemat banget,sangat hemat
suka tumpah-tumpah,mudah tumpah
sampe mengeras,sampai mengeras 
masi mempan,masih berfungsi
sedikit sticky,sedikit lengket
bosen makenya,sudah bosan ketika memakai
rekomen,rekomendasi
gendut bulky,tebal
aga celekit2,sedikit sakit
aga panas gitu,sedikit panas
ngeswipe,mengusap
ga kusem,tidak kusam
dakinya rontok,kotorannya banyak yang jatuh
kumat,muncul lagi 
cenut-cenutnya,sakitnya
seawet matte,awet seperti warna alami tanpa kilap
jempolan bangeet,sangat bagus
kaya ga bersih,terlihat tidak bersih lagi 
towel-towel,colek
kesat sekesatnya,sangat kesat
di taroh,ditaruh
keastringent,ke pembersih wajah beralkohol yang dapat mengangkat minyak
cekit-cekit,perih 
perlayer,per lapis
menyengat bangettt,sangat menyengat
di trotolin,dikelupas
repot,ribet
totol2,diaplikasikan sedikit 
pekejing,kemasan
komedo,komedo
medok,tebal dan berat
tolerir,toleransi
amburageul,berantakan
